[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),313,0.02658,1304.0,0.7279
C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),298,0.01963,1428.0,1.117
C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),303,0.01656,1422.0,1.3009
C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),323,0.00936,1400.0,2.161
C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),C[N+]1=CN(C=C1)CCCC.[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),323,0.0554,1155.0,0.3735
C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),C[N+]1=CN(C=C1)CC.[B+3]([F-])([F-])([O-]C(=O)C(F)(F)(F))([O-]C(=O)C(F)(F)(F)),333,0.00741,1388.0,2.6557
[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),333,0.0369,1110.0,0.6238
[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),323,0.0564,1117.0,0.4225
[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),303,0.1611,1131.0,0.1577
[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),[N+](CC)(CC)(CC)(CC).[B+3]([F-])([F-])([O-]C(=O)C)([O-]C(=O)C),298,0.2225,1134.0,0.1167
