Temperature/K,Pressure/kPa,Specific_density[Liquid]/kg/m3,cmp1ID,cmp1name,SMILES,Viscosity[Liquid]/Pa&#8226;s,Electrical_conductivity[Liquid]/S/m
333,101.325,1340.6,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.01888,0.73
273,101.325,1394.5,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.298,0.0584
298,101.325,1372.4,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.0709,0.2178
313,101.325,1358.8,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.038,0.396
283,101.325,1385.9,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.1567,0.1067
373,101.325,1303.7,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.0072,1.729
293,101.325,1376.9,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.0904,0.1773
353,101.325,1322.3,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.01115,1.177
318,101.325,1222.56,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.04225,0.86
313,101.325,1190.53,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0535,0.619
318,101.325,1187.04,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0426,0.772
303,101.325,1197.75,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0846,0.422
308,101.325,1194.1,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.065,0.52
308,101.325,1229.26,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0626,0.61
303,101.325,1232.67,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0777,0.485
313,101.325,1225.82,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0511,0.72
288,101.325,1243.09,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.1683,0.202
283,101.325,1246.53,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.2291,0.139
298,101.325,1236.02,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0988,0.382
288,101.325,1208.68,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.182,0.1987
333,101.325,1176.38,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0255,1.1769
328,101.325,1179.94,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0295,1.0156
323,101.325,1183.55,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0356,0.902
348,101.325,1165.44,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0162,1.6987
353,101.325,1161.93,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0139,1.8633
283,101.325,1212.38,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.264,0.1556
338,101.325,1172.51,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0213,1.3692
343,101.325,1168.8,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.0184,1.5201
293,101.325,1205.02,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.142,0.2613
293,101.325,1239.48,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.128,0.291
298,101.325,1201.36,AArYmU,1-butyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,0.108,0.341
343,101.325,1205.47,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.01891,1.747
298,101.325,1207.61,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.2132,0.099
293,101.325,1210.96,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.289,0.104
343,101.325,1177.07,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.02999,1.008
323,101.325,1190.77,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.0622,0.522
328,101.325,1187.39,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.061,0.626
333,101.325,1183.99,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.0422,0.741
338,101.325,1208.84,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.02172,1.538
353,101.325,1198.67,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.01468,2.18
348,101.325,1202.12,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0166,1.95
323,101.325,1219.12,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.03538,1.01
328,101.325,1215.79,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.0294,1.178
313,101.325,1197.34,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.0968,0.348
308,101.325,1200.72,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.1237,0.276
303,101.325,1204.22,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.1609,0.217
318,101.325,1194.11,AAwHsX,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.0771,0.43
333,101.325,1212.33,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.02515,1.351
298,101.325,1194.4,AAdDEf,diethanolammonium formate,OCC[NH2+]CCO.[O-]C=O,0.95,0.055
308,101.325,1187.4,AAdDEf,diethanolammonium formate,OCC[NH2+]CCO.[O-]C=O,0.52,0.106
318,101.325,1180.8,AAdDEf,diethanolammonium formate,OCC[NH2+]CCO.[O-]C=O,0.269,0.187
328,101.325,1174.1,AAdDEf,diethanolammonium formate,OCC[NH2+]CCO.[O-]C=O,0.152,0.307
338,101.325,1167.3,AAdDEf,diethanolammonium formate,OCC[NH2+]CCO.[O-]C=O,0.092,0.453
313,101.325,1423.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0291,0.6839
303,101.325,1432.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0422,0.4876
333,101.325,1404.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0155,1.242
323,101.325,1414.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0207,0.81
293,101.325,1442.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0635,0.329
353,101.325,1386.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.00953,1.977
363,101.325,1377.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.00793,2.033
343,101.325,1395.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.012,1.592
373,101.325,1367.0,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.00634,2.377
313,101.325,1070.6,AAmkhS,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,C(#N)[C-](C#N)C#N.C(C)N1C=[N+](C=C1)C,0.0098,1.25
283,101.325,1092.6,AAmkhS,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,C(#N)[C-](C#N)C#N.C(C)N1C=[N+](C=C1)C,0.025,1.0
303,101.325,1077.7,AAmkhS,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,C(#N)[C-](C#N)C#N.C(C)N1C=[N+](C=C1)C,0.013,0.93
333,101.325,1056.9,AAmkhS,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,C(#N)[C-](C#N)C#N.C(C)N1C=[N+](C=C1)C,0.0065,2.12
333,101.325,1199.0,ACFchW,bis(1-butyl-3-methylimidazolium) tetrathiocyanatocobaltate,CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],0.05162,0.755
313,101.325,1212.6,ACFchW,bis(1-butyl-3-methylimidazolium) tetrathiocyanatocobaltate,CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],0.1364,0.325
303,101.325,1219.6,ACFchW,bis(1-butyl-3-methylimidazolium) tetrathiocyanatocobaltate,CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],0.247,0.185
293,101.325,1226.4,ACFchW,bis(1-butyl-3-methylimidazolium) tetrathiocyanatocobaltate,CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],0.515,0.096
323,101.325,1205.8,ACFchW,bis(1-butyl-3-methylimidazolium) tetrathiocyanatocobaltate,CCCCN1C=C[N+](=C1)C.CCCCN1C=C[N+](=C1)C.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.C(=[N-])=S.[Co+2],0.0794,0.51
363,101.325,1194.3,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.01169,2.68
373,101.325,1187.8,AAtWJq,1-ethyl-3-methylimidazolium ethyl sulfate,CCN1C=C[N+](=C1)C.CCOS(=O)(=O)[O-],0.00952,3.29
313,101.325,1352.0,ABChct,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.12,0.301
283,101.325,908.6,ACBneK,tetradecyl(trihexyl)phosphonium dicyanamide,[N-](C#N)C#N.C(CCCCCCCCCCCCC)[P+](CCCCCC)(CCCCCC)CCCCCC,1.1449,0.32
293,101.325,1105.9,AAiERH,1-ethyl-3-methylimidazolium dicyanamide,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.01682,2.532
333,101.325,1079.8,AAiERH,1-ethyl-3-methylimidazolium dicyanamide,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.00671,6.189
353,101.325,1067.0,AAiERH,1-ethyl-3-methylimidazolium dicyanamide,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.004302,8.464
313,101.325,1092.7,AAiERH,1-ethyl-3-methylimidazolium dicyanamide,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.01041,4.196
298,101.325,1102.6,AAiERH,1-ethyl-3-methylimidazolium dicyanamide,CCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.0143,2.915
353,101.325,1320.6,ABChct,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.0255,1.1345
373,101.325,1304.9,ABChct,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.0148,2.0
298,101.325,1366.0,ABChct,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.271,0.1437
293,101.325,1370.2,ABChct,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.37,0.11
283,101.325,1378.6,ABChct,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.76,0.059
303,101.325,1057.9,AAnYiw,1-butyl-3-methylimidazolium dicyanamide,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.0243,1.299
333,101.325,1039.0,AAnYiw,1-butyl-3-methylimidazolium dicyanamide,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.0102,2.799
313,101.325,1051.5,AAnYiw,1-butyl-3-methylimidazolium dicyanamide,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.0177,1.742
323,101.325,1045.2,AAnYiw,1-butyl-3-methylimidazolium dicyanamide,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.0133,2.245
353,101.325,1026.8,AAnYiw,1-butyl-3-methylimidazolium dicyanamide,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.0067,4.031
343,101.325,1032.9,AAnYiw,1-butyl-3-methylimidazolium dicyanamide,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.0082,3.396
293,101.325,1064.4,AAnYiw,1-butyl-3-methylimidazolium dicyanamide,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,0.0367,0.923
278,101.325,1382.8,ABChct,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,1.119,0.0385
333,101.325,1337.0,ABChct,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.0492,0.629
278,101.325,1117.16,ABCNEm,1-methyl-3-octylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,1.478,0.01484
293,101.325,1055.7,AAmGMR,1-butyl-3-methylimidazolium acetate,CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.562,0.0331
313,101.325,1043.3,AAmGMR,1-butyl-3-methylimidazolium acetate,CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.1366,0.1361
333,101.325,1031.2,AAmGMR,1-butyl-3-methylimidazolium acetate,CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.0488,0.3598
283,101.325,1450.9,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1061,0.207
298,101.325,1436.8,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0521,0.387
273,101.325,1460.4,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.192,0.118
283,101.325,1113.71,ABCNEm,1-methyl-3-octylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,0.982,0.0218
298,101.325,1052.6,AAmGMR,1-butyl-3-methylimidazolium acetate,CCCCN1C=C[N+](=C1)C.CC(=O)[O-],0.375,0.042
283,101.325,1061.9,AAmGMR,1-butyl-3-methylimidazolium acetate,CCCCN1C=C[N+](=C1)C.CC(=O)[O-],1.403,0.0131
298,101.325,1103.47,ABCNEm,1-methyl-3-octylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,0.341,0.0576
313,101.325,1093.31,ABCNEm,1-methyl-3-octylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,0.1441,0.1317
333,101.325,1079.64,ABCNEm,1-methyl-3-octylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,0.0578,0.294
353,101.325,1066.28,ABCNEm,1-methyl-3-octylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,0.0281,0.581
293,101.325,1106.78,ABCNEm,1-methyl-3-octylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,0.473,0.0427
313,101.325,1367.16,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.04842,0.294
323,101.325,1358.2,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.03304,0.423
318,101.325,1362.68,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.03974,0.355
308,101.325,1371.74,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.05986,0.233
303,101.325,1376.36,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.0752,0.187
298,101.325,1381.03,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.0962,0.146
293,101.325,1385.68,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.1256,0.113
283,101.325,1395.21,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.229,0.062
333,101.325,1349.49,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.02364,0.581
308,101.325,1427.92,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0347,0.5812
328,101.325,1408.32,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.01805,1.075
318,101.325,1418.06,ABchlW,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0242,0.7955
328,101.325,1353.85,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.02779,0.5
288,101.325,1390.46,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.168,0.086
338,101.325,1345.17,ABhYYA,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,[N+](CCCCCC)1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)(F),0.0203,0.672
318,101.325,1208.7,ABCPXU,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,0.352,0.128
328,101.325,1202.6,ABCPXU,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,0.1737,0.237
328,101.325,1307.4,AAoCYj,"1,3-dimethylimidazolium methylsulfate",CN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.02367,1.083
318,101.325,1313.8,AAoCYj,"1,3-dimethylimidazolium methylsulfate",CN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.03252,0.821
358,101.325,1184.9,ABCPXU,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,0.03981,0.843
348,101.325,1190.7,ABCPXU,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,0.0599,0.635
338,101.325,1196.6,ABCPXU,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,0.0972,0.419
313,101.325,1462.1,ABZxyK,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCC,0.0261,0.971
303,101.325,1471.1,ABZxyK,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCC,0.0374,0.71
333,101.325,1440.1,ABZxyK,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCC,0.0145,1.53
308,101.325,1466.8,ABZxyK,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCC,0.0311,0.765
318,101.325,1457.0,ABZxyK,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCC,0.0222,1.05
298,101.325,1475.7,ABZxyK,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCC,0.0457,0.542
323,101.325,1451.7,ABZxyK,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)CCC,0.01911,1.252
318,101.325,1354.2,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.03176,0.466
303,101.325,1367.9,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.0571,0.273
338,101.325,1336.2,ABiCca,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C,0.01665,0.83
