Temperature/K,Pressure/kPa,Specific_density[Liquid]/kg/m3,cmp1ID,cmp1name,SMILES,Viscosity[Liquid]/Pa&#8226;s,Electrical_conductivity[Liquid]/S/m
343,101.325,1033.2,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0037,0.000884
318,101.325,1055.2,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0084,0.000526
328,101.325,1046.4,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0058,0.000645
333,101.325,1042.0,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0049,0.000704
338,101.325,1037.6,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0042,0.000788
323,101.325,1050.8,AAogDH,N-(2-hydroxyethyl)benzenaminium propionate,C(CC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0069,0.000584
318,101.325,1018.5,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0124,0.001569
293,101.325,1039.8,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0496,0.000831
303,101.325,1031.2,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0284,0.001089
308,101.325,1027.0,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.021,0.001246
313,101.325,1022.7,AAwlkd,N-(2-hydroxyethyl)benzenaminium hexanoate,C(CCCCC)(=O)[O-].OCC[NH2+]C1=CC=CC=C1,0.0159,0.001411
368,101.325,1084.0,AAwsUz,1-hexyl-3-methylimidazolium tetrafluoroborate,[B-](F)(F)(F)F.CCCCCCN1C=C[N+](=C1)C,0.0106,1.545
303,101.325,1209.3,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0423,0.547
313,101.325,1201.9,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0279,0.782
323,101.325,1194.5,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0196,1.05
328,101.325,1191.0,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0167,0.988
333,101.325,1187.0,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0144,1.38
338,101.325,1183.0,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0125,1.301
343,101.325,1180.0,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0109,1.75
348,101.325,1177.0,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0096,1.658
308,101.325,1205.9,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0339,0.504
298,101.325,1212.8,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0529,0.332
318,101.325,1197.9,AAwaCc,1-butyl-3-methylimidazolium trifluoroacetate,CCCCN1C=C[N+](=C1)C.C(=O)(C(F)(F)F)[O-],0.0233,0.723
294,101.325,1010.0,AAsjhd,1-butyl-1-methylpyrrolidinium tricyanomethanide,CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],0.0348,0.75
304,101.325,1004.0,AAsjhd,1-butyl-1-methylpyrrolidinium tricyanomethanide,CCCC[N+]1(CCCC1)C.C(=C(C#N)C#N)=[N-],0.0243,1.02
304,101.325,1043.0,AAsExa,1-butyl-3-methylimidazolium tricyanomethane,C(#N)C(C#N)C#N.C(CCC)N1C=[N+](C=C1)C,0.0219,1.16
286,101.325,1055.0,AAsExa,1-butyl-3-methylimidazolium tricyanomethane,C(#N)C(C#N)C#N.C(CCC)N1C=[N+](C=C1)C,0.0495,0.56
309,101.325,1437.0,ABiBRY,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C=C)N1C=[N+](C=C1)CCOC,0.0237,0.546
