src,trg,Temperature,DynViscosity,Density,ElecConductivity
C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,311,0.0848,1153.8,0.127
C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,306,0.1161,1008.4,0.049
C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,308,0.0931,1155.4,0.121
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,311,0.0465,980.5,0.044
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,323,0.01738,960.66,0.035
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,321,0.01929,962.4,0.033
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,318,0.02273,964.14,0.031
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,316,0.02579,965.89,0.029
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,313,0.03018,967.63,0.027
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,311,0.0354,969.37,0.025
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,308,0.0377,971.11,0.024
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,306,0.0427,972.85,0.022
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,303,0.0475,974.6,0.021
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,301,0.0517,976.35,0.019
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,298,0.0578,978.1,0.018
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,296,0.062,979.86,0.017
C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,C[N+]1(CCOCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCOCC1)CCCCCCCC,293,0.0702,981.58,0.016
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,296,0.091,990.8,0.032
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,298,0.0837,989.1,0.034
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,301,0.0718,987.5,0.036
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,323,0.02333,971.7,0.056
C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,306,0.1071,1156.9,0.112
C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,303,0.1252,1158.5,0.106
C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,301,0.138,1160.0,0.099
C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,298,0.162,1161.6,0.094
C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,296,0.179,1163.2,0.088
C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,C(C)[N+]1(CCOCC1)C.C(C)P([O-])([O-])=O.C(C)[N+]1(CCOCC1)C,293,0.209,1164.7,0.083
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,321,0.02575,973.5,0.053
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,303,0.0663,985.7,0.038
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,318,0.03001,975.2,0.051
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,316,0.0334,977.0,0.048
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,313,0.0397,978.7,0.046
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,293,0.1051,992.3,0.031
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,308,0.0508,982.2,0.042
C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,C[N+]1(CCCC1)CCCCCCCC.C(CCCCCCC)P([O-])([O-])=O.C[N+]1(CCCC1)CCCCCCCC,306,0.0571,984.0,0.04
C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,303,0.149,1009.9,0.046
C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,313,0.0612,1003.6,0.058
C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,311,0.0799,1005.2,0.055
C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,323,0.02411,997.3,0.072
C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,321,0.02894,998.8,0.068
C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,318,0.0377,1000.4,0.064
C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,C(CCCCC)[N+]1(CCCCC1)C.C(CCCCC)P([O-])([O-])=O.C(CCCCC)[N+]1(CCCCC1)C,316,0.0463,1002.0,0.061
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,330,0.028,1367.0,0.8164
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,348,0.01452,1182.0,1.76
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,361,0.01086,1173.0,2.23
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,306,0.05072,1213.0,0.602
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,330,0.02317,1195.0,1.19
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,324,0.02765,1199.0,1.02
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,318,0.0334,1204.0,0.86
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,312,0.04086,1208.0,0.723
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,300,0.06402,1217.0,0.495
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,312,0.047,1382.0,0.4754
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,324,0.02856,1372.0,0.6939
C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,361,0.01065,1259.0,3.31
C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,330,0.02073,1283.0,1.91
C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,300,0.04974,1306.0,0.917
C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,306,0.04074,1301.0,1.09
C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,336,0.01794,1278.0,2.16
C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,312,0.03383,1296.0,1.27
C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,C(CCC)[N+]1(CCCC1)C.FS(=O)(=O)[N-]S(=O)(=O)F,324,0.02415,1287.0,1.68
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,361,0.01078,1340.0,2.11
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,355,0.01231,1345.0,1.473
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,341,0.01737,1357.0,1.106
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,336,0.01991,1361.0,0.965
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,336,0.01966,1191.0,1.37
C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,C(C)[P+](CCCCC)(CC)CC.FS(=O)(=O)[N-]S(=O)(=O)F,298,0.06938,1219.0,0.463
C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,324,0.02879,1282.0,0.521
C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,312,0.04542,1292.0,0.358
C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,306,0.05868,1297.0,0.286
C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,300,0.07743,1302.0,0.223
C(C)[P+](CCOC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCOC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,361,0.007672,1322.0,1.84
C(C)[P+](CCOC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCOC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,330,0.01601,1349.0,0.99
C(C)[P+](CCOC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCOC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,324,0.01904,1354.0,0.85
C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,330,0.0235,1277.0,0.612
C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,336,0.01946,1272.0,0.711
CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,312,0.08867,1370.0,0.264
CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,361,0.01562,1329.0,1.19
CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,336,0.03312,1349.0,0.626
CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,324,0.05201,1360.0,0.424
CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,306,0.1202,1375.0,0.202
CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,300,0.168,1380.0,0.153
CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,330,0.04112,1355.0,0.519
C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[P+](CCCCC)(CC)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,361,0.01002,1251.0,1.17
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,283,0.0585,1370.3,0.462
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,273,0.0988,1379.2,0.291
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,278,0.0753,1374.7,0.37
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,288,0.0466,1365.9,0.561
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,293,0.0375,1361.5,0.681
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,298,0.031,1357.2,0.816
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,278,0.382,1534.0,0.046
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,313,0.0504,1497.5,0.278
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,303,0.0795,1508.0,0.1829
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,298,0.104,1513.2,0.145
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,293,0.14,1518.5,0.1122
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,288,0.191,1523.9,0.0853
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,283,0.265,1528.5,0.0634
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,273,0.579,1539.6,0.0324
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,303,0.026,1352.8,0.953
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,353,0.00751,1310.8,2.944
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,343,0.00886,1319.0,2.475
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,333,0.0111,1327.4,2.038
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,323,0.0143,1335.8,1.636
CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,CCCCN1C=C[N+](=C1)C.N(S(=O)(=O)F)S(=O)(=O)F,313,0.019,1344.3,1.273
CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCN1C=C[N+](=C1)C.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,333,0.0238,1476.7,0.549
C(CCC)[N+]1(CCCC1)C.P(OCCCC)([O-])=O,C(CCC)[N+]1(CCCC1)C.P(OCCCC)([O-])=O,321,0.0749,1067.48,0.068
