src,trg,Temperature,DynViscosity,Density,ElecConductivity
CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],278,0.69,1252.8,0.0656
CCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,333,0.04046,1120.5,0.5561
CCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,353,0.02116,1107.1,1.0153
CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],328,0.03551,1219.7,0.97
CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],343,0.02193,1209.8,1.546
CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],308,0.0893,1232.7,0.4351
CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],303,0.1163,1236.0,0.3402
CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],348,0.01857,1206.5,1.75
CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],363,0.01273,1196.7,2.594
CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],288,0.315,1245.8,0.142
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,328,0.02507,1368.7,0.7748
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,338,0.01877,1360.0,1.02
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,283,0.1666,1408.3,0.1343
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,288,0.128,1403.8,0.12
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,368,0.00932,1334.3,1.71
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,318,0.03478,1377.4,0.5804
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,308,0.0505,1386.1,0.4124
C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCC)[N+]1(CCCC1)C.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,358,0.0115,1342.5,1.39
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,358,0.0124,1160.6,2.52
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,368,0.00989,1153.5,3.1
C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,278,1.2462,1083.71,0.047
C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,353,0.03141,1030.2,0.0913
CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,363,0.01041,1265.3,0.997
CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,363,0.00643,1456.7,3.73
CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,373,0.0048,1447.0,4.051
CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,293,0.0568,1480.5,0.441
CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,353,0.00912,1422.9,2.279
CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CN1C=[N+](C=C1)CCC.[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,343,0.01135,1432.4,1.91
CCCC[N+]1(CCCC1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCC[N+]1(CCCC1)C.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,318,0.0757,1562.1,0.273
