353,101.325,1380.0,ABabHe,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+]1(CCCC1)CCC,0.0117,1.86,bis(trifluoromethylsulfonyl)azanide;1-methyl-1-propylpyrrolidin-1-ium
293,101.325,1455.0,ABcDOD,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CC=1C=[N+](C=CC1)CCC,0.0691,0.318,bis(trifluoromethylsulfonyl)azanide;3-methyl-1-propylpyridin-1-ium
283,101.325,1252.2,AAnidI,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],0.472,0.0988,1-ethyl-3-methylimidazol-3-ium;methanesulfonate
318,101.325,1166.2,ADWgME,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,0.1192,0.03,"tetrakis(1,1,2,2,2-pentafluoroethyl)phosphanuide;trihexyl(tetradecyl)phosphanium"
333,101.325,1040.8,ACqwGO,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC,0.06347,0.0473,bis(trifluoromethylsulfonyl)azanide;trihexyl(tetradecyl)phosphanium
353,101.325,1255.7,ABmOpT,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(C)[P+](CCCCC)(CC)CC,0.01196,0.999,bis(trifluoromethylsulfonyl)azanide;triethyl(pentyl)phosphanium
333,101.325,1260.9,AAqmRB,1-ethyl-3-methylimidazolium methyl sulfate,CCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],0.0226,1.839,1-ethyl-3-methylimidazol-3-ium;methylsulfate
293,101.325,1469.2,ABZxPm,"1,3-diethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",CCN1C=C[N+](=C1)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.03689,0.85,"bis(trifluoromethylsulfonyl)azanide;1,3-diethylimidazol-1-ium"
293,101.325,1215.6,AAUoGY,ethylammonium nitrate,CC[NH3+].[N+](=O)([O-])[O-],0.0435,1.93,ethylazanium;nitrate
293,101.325,1299.8,ABICYL,1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,0.705,0.0376,1-hexyl-3-methylimidazol-3-ium;hexafluorophosphate
